ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,38.0,808.0,34.0,2.3,4.31,0.0,20.4,55.3,0.6467045777493172,0.38549459213720344,0.6467045777493172
83.0,39.2,789.0,39.0,2.3,4.54,0.0,20.8,51.8,0.6468373677702186,0.38651375667996285,0.6468373677702186
83.0,61.2,749.0,50.0,-1.6,6.4,12.0,24.7,56.1,0.6482838541462456,0.38641387828825596,0.6482838541462456
83.0,17.3,1670.0,65.0,-1.6,4.0,22.0,20.8,61.2,0.6527475784649059,0.38412201522162503,0.6527475784649059
82.0,77.3,2241.0,68.0,3.9,20.19,31.0,26.7,67.8,0.653395291546123,0.38246878624073044,0.653395291546123
82.0,83.9,1655.0,67.0,-4.7,21.09,40.0,34.1,65.1,0.6539419345105023,0.3806471064080868,0.6539419345105023
82.0,80.8,2113.0,63.0,3.9,8.42,42.0,26.3,67.5,0.652493158378605,0.3805576638709976,0.652493158378605
82.0,81.6,1430.0,67.0,-4.7,17.11,43.0,32.5,63.5,0.652493158378605,0.3805576638709976,0.652493158378605
82.0,85.5,1416.0,35.0,-0.8,17.78,40.0,32.9,62.4,0.6555526337165618,0.3799970518230061,0.6555526337165618
83.0,61.6,1859.0,72.0,5.5,18.73,41.0,33.3,69.4,0.6563704778907351,0.3799264468069499,0.6563704778907351
83.0,82.4,2084.0,68.0,2.3,25.87,47.0,35.3,67.1,0.6563313964549664,0.3796378193541645,0.6563313964549664
83.0,68.2,2350.0,27.0,-4.7,24.7,48.0,34.5,69.0,0.6575260257983648,0.37935521723852034,0.6575260257983648
82.0,56.9,1560.0,48.0,-1.6,13.0,45.0,30.6,68.6,0.6580787549825381,0.37943362666089214,0.6580787549825381
83.0,20.4,1137.0,33.0,0.0,3.41,42.0,17.6,60.4,0.6597567633628346,0.37960117357991663,0.6597567633628346
83.0,38.8,783.0,30.0,-7.0,4.25,39.0,20.4,54.1,0.6582334068820271,0.37936161339656665,0.6582334068820271
83.0,35.3,812.0,32.0,-3.9,4.01,32.0,20.0,56.9,0.6564300521712995,0.37911272042249056,0.6564300521712995
84.0,37.3,799.0,32.0,-2.3,4.21,25.0,20.4,57.3,0.6544436113865,0.3789724979686248,0.6544436113865
84.0,38.4,783.0,37.0,-2.3,4.04,18.0,20.4,59.2,0.6536987529320357,0.3792103586307268,0.6536987529320357
84.0,44.3,1397.0,27.0,-3.9,9.84,25.0,29.4,63.1,0.6494236509745871,0.38214257329137813,0.6494236509745871
83.0,56.9,1276.0,58.0,4.7,12.24,35.0,30.2,67.1,0.6522114077293915,0.3825561839870521,0.6522114077293915
82.0,70.6,1885.0,55.0,3.9,19.78,42.0,31.0,67.8,0.6533345685836905,0.38255833337001754,0.6533345685836905
82.0,47.1,1427.0,20.0,0.8,9.62,41.0,28.2,66.7,0.6540779486832999,0.38239968769500526,0.6540779486832999
82.0,46.3,812.0,33.0,-0.8,4.42,34.0,20.4,63.5,0.6540779486832999,0.38239968769500526,0.6540779486832999
82.0,51.0,1047.0,69.0,7.0,9.62,36.0,28.6,65.9,0.6562663662907128,0.3823811956840582,0.6562663662907128
82.0,86.3,1272.0,68.0,-2.3,16.19,42.0,32.5,60.4,0.6586771314007344,0.3817835801452486,0.6586771314007344
